wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
QaLUeqzSp,https://weibo.cn/comment/QaLUeqzSp?uid=6859133019&rl=0#cmtfrm,骗子高仿小号到我头上了，朋友们不要上当。感觉这是个批量的骗子套路，注册几个号，然后用 Agentic 程序驱动浏览器找目标号，关注他的好友，llm 总结历史发博，发起相关聊天。@首都网警  [组图共2张] 原图 ,https://ww4.sinaimg.cn/large/007ucdPJly1i6opiqdwlhj30u01uon0r.jpg https://ww3.sinaimg.cn/large/007ucdPJly1i6opirnq0qj31402gwtj2.jpg,无,True,无,2025-10-25 16:35,微博轻享版,0,0,0
QaK6vDR3V,https://weibo.cn/comment/QaK6vDR3V?uid=6859133019&rl=0#cmtfrm,同时懂端侧三端原生、云原生、Agent Native 开发，并有大规模工程经验的，全中国不会超过 500 人。  ,,无,True,无,2025-10-25 12:00,微博轻享版,0,0,1
Q9NCBjkud,https://weibo.cn/comment/Q9NCBjkud?uid=6859133019&rl=0#cmtfrm,出差极速版，六天六个城市。京津冀～长三角～珠三角，飞机+高铁+租车，连轴转，最后一晚我选择坐动卧。  原图 ,https://ww1.sinaimg.cn/large/007ucdPJly1i6hbdnxeu3j317l0u07bu.jpg,无,True,无,2025-10-19 07:07,微博轻享版,4,0,0
PE9E4cMnD,https://weibo.cn/comment/PE9E4cMnD?uid=6859133019&rl=0#cmtfrm,自从去年学会 React Next.js 和 CSS Styling 后加上之前的服务器后端+运维经验现在最快几个小时能完成 idea 到上线  ,,无,True,无,2025-08-03 23:35,微博轻享版,3,0,1
PDeus6HML,https://weibo.cn/comment/PDeus6HML?uid=6859133019&rl=0#cmtfrm,我感觉我号快没了，10条发不出1条  原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1i3u2x2idvxj31402gwqjk.jpg,无,True,无,2025-07-28 22:05,微博轻享版,1,0,2
PCVThqBXS,https://weibo.cn/comment/PCVThqBXS?uid=6859133019&rl=0#cmtfrm,明末渊虚之羽本来狠狠期待召唤常遇春徐达汤和，一路打到白山黑水辽之东，犁庭扫穴破建奴……读了几年《明史》和《南明史》，看这辣鸡游戏的每一个别有用心的细节，都是对精神明朝人的严重创伤#明末渊虚之羽##南明##李定国##辽东#  [组图共2张] 原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1i3rsszi1rcj30u01fv41z.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1i3rst0n686j31uo0u0dp0.jpg,无,True,无,2025-07-26 22:44,微博轻享版,2,0,1
PzVPBwLEF,https://weibo.cn/comment/PzVPBwLEF?uid=6859133019&rl=0#cmtfrm,今天是我的生日07月07日，来祝福我吧~  ,,无,True,无,2025-07-07 05:04,生日动态,1,0,0
Pz6UogM5b,https://weibo.cn/comment/Pz6UogM5b?uid=6859133019&rl=0#cmtfrm,今年2月份的时候绕广西自驾游（蹭的），关注到广西李白，即李宗仁、白崇禧，今日常有广西子弟道：如果当年李宗仁中原大战能够带领广西兵打败蒋介石，把握住这广西子弟几千年来唯一一次能够问鼎中原的机会，广西人就不用去广东打工了。我笑而不语，看我 ip！  ,,无,True,无,2025-07-01 19:26,微博轻享版,0,0,2
Pxz0XDsaP,https://weibo.cn/comment/Pxz0XDsaP?uid=6859133019&rl=0#cmtfrm,沉迷于二十四史和陆王心学于是逐渐和社会脱节  ,,无,True,无,2025-06-21 15:18,微博轻享版,2,0,1
Puwj4snPy,https://weibo.cn/comment/Puwj4snPy?uid=6859133019&rl=0#cmtfrm,打两个历史名人。史册流芳，虽未灭奴犹可法。洪恩浩荡，未能报国反成仇。#南明#  原图 ,https://ww3.sinaimg.cn/large/007ucdPJgy1i1zu4po6efj31131fxwkg.jpg,无,True,无,2025-06-01 14:54,微博轻享版,0,0,0
